Wall time,Step,Value
1590929579.800052,1464,0.34375
1590929581.108715,1465,0.3125
1590929582.3032231,1466,0.09375
1590929583.538839,1467,0.5
1590929585.4986272,1468,0.5625
1590929586.872264,1469,0.28125
1590929588.145067,1470,0.3125
1590929590.2358882,1471,0.46875
1590929591.956958,1472,0.3125
1590929594.719452,1473,0.25
1590929596.099894,1474,0.375
1590929597.3202329,1475,0.6875
1590929599.082666,1476,0.25
1590929601.378848,1477,0.28125
1590929603.7764091,1478,0.5
1590929605.977995,1479,0.59375
1590929607.817989,1480,0.125
1590929609.169965,1481,0.53125
1590929610.926267,1482,0.375
1590929612.326058,1483,0.625
1590929614.630336,1484,0.25
1590929615.818871,1485,0.46875
1590929617.067005,1486,0.25
1590929618.214934,1487,0.0625
1590929619.407613,1488,0.96875
1590929620.508652,1489,0.34375
1590929621.730546,1490,0.875
1590929622.928902,1491,0.46875
1590929624.837829,1492,0.15625
1590929626.471518,1493,0.46875
1590929628.999277,1494,0.40625
1590929630.332831,1495,0.53125
1590929631.559872,1496,0.3125
1590929632.818125,1497,0.625
1590929633.9250538,1498,0.4375
1590929635.5150988,1499,0.5
1590929636.9197261,1500,0.46875
